filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
B71example0.fast5	6778ff9c-3397-46ee-9781-c08a0f911873	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	420	3	12959.772250	137.845500	110276	TRUE	12960.059750	110046	137.558000	49621	13.530221	3.038438	75.617081	9.671952	75.617081	9.671952
B71example0.fast5	510b12e3-69b3-4219-bbb4-730404f886ce	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	435	4	68458.655750	37.388250	29910	TRUE	68458.694500	29879	37.349500	13957	11.535356	2.965312	80.013420	10.023659	80.013420	10.023659
B71example0.fast5	ca4915d7-394b-4495-8237-d30d6c564f3f	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	327	3	67479.218000	32.908250	26326	TRUE	67479.259250	26293	32.867000	7742	15.022516	2.709039	81.947807	10.023659	81.947807	10.023659
B71example0.fast5	7dbf1a92-b14f-467f-b7a3-00518c22349c	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	471	4	89157.698250	41.217500	32974	TRUE	89157.744500	32937	41.171250	14597	13.534461	2.986020	77.551468	9.847805	77.551468	9.847805
B71example0.fast5	48733a99-7a37-4b29-a1a8-0538b918202d	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	319	4	96495.667500	59.878250	47902	TRUE	96495.722500	47858	59.823250	19648	12.694550	2.913869	91.443909	10.902927	91.443909	10.902927
B71example0.fast5	5fdfc3c3-bf4a-405b-bf61-759652ffbbd9	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	375	1	109394.234000	54.610000	43688	TRUE	109394.514000	43464	54.330000	19071	9.464835	2.848861	68.934639	8.792684	68.934639	8.792684
B71example0.fast5	663a26f6-0063-44a4-8f6d-93ed97b60509	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	200	2	130162.585500	60.871750	48697	TRUE	130162.889250	48454	60.568000	18513	15.477439	2.902320	77.551468	10.023659	77.551468	10.023659
B71example0.fast5	cabbb700-37a5-43c2-a1a2-a5db0af014bf	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	271	2	107569.209250	91.823500	73458	TRUE	107569.298000	73387	91.734750	28249	14.790708	2.894060	73.506836	9.496099	73.506836	9.496099
B71example0.fast5	5ac1edb2-dec8-4df3-8703-0cad3dba6d6b	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	388	3	87193.288250	70.471500	56377	TRUE	87193.330750	56343	70.429000	22203	15.239614	2.917207	75.265373	9.496099	75.265373	9.496099
B71example0.fast5	7eb19bf0-7d53-41c5-938f-da17bc052674	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	66	3	93485.852000	87.595250	70076	TRUE	93485.998250	69959	87.449000	29395	14.937455	2.979110	82.123665	10.375366	82.123665	10.375366
